Date;Товар;MoM;Day
2021-01-01;Непродовольственные товары;100.27;01.01.2021
2021-01-01;Продовольственные товары;101.28;01.01.2021
2021-01-01;Услуги;99.870003;01.01.2021
2021-02-01;Все товары и услуги;101.03;01.02.2021
2021-02-01;Непродовольственные товары;100.57;01.02.2021
2021-02-01;Продовольственные товары;101.52;01.02.2021
2021-02-01;Услуги;100.83;01.02.2021
2021-03-01;Все товары и услуги;101.31;01.03.2021
2021-03-01;Непродовольственные товары;100.73;01.03.2021
2021-03-01;Продовольственные товары;102.17;01.03.2021
2021-03-01;Услуги;100.61;01.03.2021
2021-04-01;Все товары и услуги;100.86;01.04.2021
2021-04-01;Непродовольственные товары;100.48;01.04.2021
2021-04-01;Продовольственные товары;101.32;01.04.2021
2021-04-01;Услуги;100.6;01.04.2021
2021-05-01;Все товары и услуги;100.41;01.05.2021
2021-05-01;Непродовольственные товары;100.48;01.05.2021
2021-05-01;Продовольственные товары;100.54;01.05.2021
2021-05-01;Услуги;100.03;01.05.2021
2021-06-01;Все товары и услуги;100.56;01.06.2021
2021-06-01;Непродовольственные товары;100.4;01.06.2021
2021-06-01;Продовольственные товары;100.59;01.06.2021
2021-06-01;Услуги;100.77;01.06.2021
2021-07-01;Все товары и услуги;100.22;01.07.2021
2021-07-01;Непродовольственные товары;100.65;01.07.2021
2021-07-01;Продовольственные товары;99.279999;01.07.2021
2021-07-01;Услуги;101.38;01.07.2021
2021-08-01;Все товары и услуги;100.16;01.08.2021
2021-08-01;Непродовольственные товары;101.16;01.08.2021
2021-08-01;Продовольственные товары;98.650002;01.08.2021
2021-08-01;Услуги;101.43;01.08.2021
2021-09-01;Все товары и услуги;100.73;01.09.2021
2021-09-01;Непродовольственные товары;100.65;01.09.2021
2021-09-01;Продовольственные товары;101.73;01.09.2021
2021-09-01;Услуги;98.980003;01.09.2021
2021-10-01;Все товары и услуги;100.92;01.10.2021
2021-10-01;Непродовольственные товары;100.62;01.10.2021
2021-10-01;Продовольственные товары;101.66;01.10.2021
2021-10-01;Услуги;99.959999;01.10.2021
2021-11-01;Все товары и услуги;100.86;01.11.2021
2021-11-01;Непродовольственные товары;100.2;01.11.2021
2021-11-01;Продовольственные товары;101.5;01.11.2021
2021-11-01;Услуги;100.7;01.11.2021
2021-12-01;Все товары и услуги;100.21;01.12.2021
2021-12-01;Непродовольственные товары;100.19;01.12.2021
2021-12-01;Продовольственные товары;100.31;01.12.2021
2021-12-01;Услуги;100.05;01.12.2021
2022-01-01;Все товары и услуги;101.22;01.01.2022
2022-01-01;Непродовольственные товары;100.55;01.01.2022
2022-01-01;Продовольственные товары;102.29;01.01.2022
2022-01-01;Услуги;100.22;01.01.2022
2022-02-01;Все товары и услуги;100.94;01.02.2022
2022-02-01;Непродовольственные товары;100.56;01.02.2022
2022-02-01;Продовольственные товары;101.42;01.02.2022
2022-02-01;Услуги;100.61;01.02.2022
2022-03-01;Все товары и услуги;105.55;01.03.2022
2022-03-01;Непродовольственные товары;106.34;01.03.2022
2022-03-01;Продовольственные товары;106.84;01.03.2022
2022-03-01;Услуги;101.73;01.03.2022
2022-04-01;Все товары и услуги;103.28;01.04.2022
2022-04-01;Непродовольственные товары;101.84;01.04.2022
2022-04-01;Продовольственные товары;105.51;01.04.2022
2022-04-01;Услуги;101.03;01.04.2022
2022-05-01;Все товары и услуги;100.68;01.05.2022
2022-05-01;Непродовольственные товары;101.16;01.05.2022
2022-05-01;Продовольственные товары;100.35;01.05.2022
2022-05-01;Услуги;100.58;01.05.2022
2022-06-01;Все товары и услуги;99.32;01.06.2022
2022-06-01;Непродовольственные товары;100.1;01.06.2022
2022-06-01;Продовольственные товары;98.389999;01.06.2022
2022-06-01;Услуги;100.05;01.06.2022
2022-07-01;Все товары и услуги;99.230003;01.07.2022
2022-07-01;Непродовольственные товары;99.480003;01.07.2022
2022-07-01;Продовольственные товары;97.309998;01.07.2022
2022-07-01;Услуги;102.89;01.07.2022
2022-08-01;Все товары и услуги;99.43;01.08.2022
2022-08-01;Непродовольственные товары;100.53;01.08.2022
2022-08-01;Продовольственные товары;98.580002;01.08.2022
2022-08-01;Услуги;99.330002;01.08.2022
2022-09-01;Все товары и услуги;100.33;01.09.2022
2022-09-01;Непродовольственные товары;100.93;01.09.2022
2022-09-01;Продовольственные товары;99.889999;01.09.2022
2022-09-01;Услуги;100.21;01.09.2022
2022-10-01;Все товары и услуги;100.66;01.10.2022
2022-10-01;Непродовольственные товары;100.64;01.10.2022
2022-10-01;Продовольственные товары;100.75;01.10.2022
2022-10-01;Услуги;100.52;01.10.2022
2022-11-01;Все товары и услуги;100.26;01.11.2022
2022-11-01;Непродовольственные товары;100.32;01.11.2022
2022-11-01;Продовольственные товары;100.08;01.11.2022
2022-11-01;Услуги;100.51;01.11.2022
2022-12-01;Все товары и услуги;100.57;01.12.2022
2022-12-01;Непродовольственные товары;99.940002;01.12.2022
2022-12-01;Продовольственные товары;100.16;01.12.2022
2022-12-01;Услуги;102.41;01.12.2022
2023-01-01;Все товары и услуги;101.13;01.01.2023
2023-01-01;Непродовольственные товары;100.33;01.01.2023
2023-01-01;Продовольственные товары;101.66;01.01.2023
2023-01-01;Услуги;101.47;01.01.2023
2023-02-01;Все товары и услуги;100.75;01.02.2023
2023-02-01;Непродовольственные товары;100.19;01.02.2023
2023-02-01;Продовольственные товары;101.51;01.02.2023
2023-02-01;Услуги;100.35;01.02.2023
2023-03-01;Все товары и услуги;100.39;01.03.2023
2023-03-01;Непродовольственные товары;100.17;01.03.2023
2023-03-01;Продовольственные товары;100.32;01.03.2023
2023-03-01;Услуги;100.84;01.03.2023
2023-04-01;Все товары и услуги;100.72;01.04.2023
2023-04-01;Непродовольственные товары;100.39;01.04.2023
2023-04-01;Продовольственные товары;101.33;01.04.2023
2023-04-01;Услуги;100.2;01.04.2023
2023-05-01;Все товары и услуги;99.75;01.05.2023
2023-05-01;Непродовольственные товары;100.79;01.05.2023
2023-05-01;Продовольственные товары;98.529999;01.05.2023
2023-05-01;Услуги;100.26;01.05.2023
2023-06-01;Все товары и услуги;100.43;01.06.2023
2023-06-01;Непродовольственные товары;100.4;01.06.2023
2023-06-01;Продовольственные товары;100.19;01.06.2023
2023-06-01;Услуги;100.86;01.06.2023
2023-07-01;Все товары и услуги;100.5;01.07.2023
2023-07-01;Непродовольственные товары;100.7;01.07.2023
2023-07-01;Продовольственные товары;100.41;01.07.2023
2023-07-01;Услуги;100.37;01.07.2023
2023-08-01;Все товары и услуги;99.93;01.08.2023
2023-08-01;Непродовольственные товары;100.76;01.08.2023
2023-08-01;Продовольственные товары;99.059998;01.08.2023
2023-08-01;Услуги;100.12;01.08.2023
2023-09-01;Все товары и услуги;101.75;01.09.2023
2023-09-01;Непродовольственные товары;101.49;01.09.2023
2023-09-01;Продовольственные товары;102.56;01.09.2023
2023-09-01;Услуги;100.84;01.09.2023
2023-10-01;Все товары и услуги;100.46;01.10.2023
2023-10-01;Непродовольственные товары;100.21;01.10.2023
2023-10-01;Продовольственные товары;100.78;01.10.2023
2023-10-01;Услуги;100.3;01.10.2023
2023-11-01;Все товары и услуги;100.74;01.11.2023
2023-11-01;Непродовольственные товары;100.24;01.11.2023
2023-11-01;Продовольственные товары;101.08;01.11.2023
2023-11-01;Услуги;100.91;01.11.2023
2023-12-01;Все товары и услуги;100.29;01.12.2023
2023-12-01;Непродовольственные товары;100.11;01.12.2023
2023-12-01;Продовольственные товары;100.84;01.12.2023
2023-12-01;Услуги;99.650002;01.12.2023
2024-01-01;Все товары и услуги;100.87;01.01.2024
2024-01-01;Непродовольственные товары;100.23;01.01.2024
2024-01-01;Продовольственные товары;101.34;01.01.2024
2024-01-01;Услуги;101.09;01.01.2024
2024-02-01;Все товары и услуги;100.53;01.02.2024
2024-02-01;Непродовольственные товары;100.13;01.02.2024
2024-02-01;Продовольственные товары;100.85;01.02.2024
2024-02-01;Услуги;100.59;01.02.2024
2024-03-01;Все товары и услуги;100.53;01.03.2024
2024-03-01;Непродовольственные товары;99.839996;01.03.2024
2024-03-01;Продовольственные товары;101.15;01.03.2024
2024-03-01;Услуги;100.55;01.03.2024
2024-04-01;Все товары и услуги;100.38;01.04.2024
2024-04-01;Непродовольственные товары;100.4;01.04.2024
2024-04-01;Продовольственные товары;100.32;01.04.2024
2024-04-01;Услуги;100.44;01.04.2024
2024-05-01;Все товары и услуги;100.94;01.05.2024
2024-05-01;Непродовольственные товары;100.41;01.05.2024
2024-05-01;Продовольственные товары;101.58;01.05.2024
2024-05-01;Услуги;100.69;01.05.2024
2024-06-01;Все товары и услуги;100.18;01.06.2024
2024-06-01;Непродовольственные товары;99.959999;01.06.2024
2024-06-01;Продовольственные товары;100.28;01.06.2024
2024-06-01;Услуги;100.35;01.06.2024
2024-07-01;Все товары и услуги;101.07;01.07.2024
2024-07-01;Непродовольственные товары;100.95;01.07.2024
2024-07-01;Продовольственные товары;100.01;01.07.2024
2024-07-01;Услуги;103.01;01.07.2024
2024-08-01;Все товары и услуги;100.09;01.08.2024
2024-08-01;Непродовольственные товары;100.47;01.08.2024
2024-08-01;Продовольственные товары;99.480003;01.08.2024
2024-08-01;Услуги;100.5;01.08.2024
2024-09-01;Все товары и услуги;100.62;01.09.2024
2024-09-01;Непродовольственные товары;100.84;01.09.2024
2024-09-01;Продовольственные товары;100.39;01.09.2024
2024-09-01;Услуги;100.66;01.09.2024
2024-10-01;Все товары и услуги;101.02;01.10.2024
2024-10-01;Непродовольственные товары;100.65;01.10.2024
2024-10-01;Продовольственные товары;101.74;01.10.2024
2024-10-01;Услуги;100.44;01.10.2024
2024-11-01;Все товары и услуги;101.5;01.11.2024
2024-11-01;Непродовольственные товары;100.41;01.11.2024
2024-11-01;Продовольственные товары;102.59;01.11.2024
2024-11-01;Услуги;101.35;01.11.2024
2024-12-01;Все товары и услуги;100.91;01.12.2024
2024-12-01;Непродовольственные товары;100.48;01.12.2024
2024-12-01;Продовольственные товары;102.15;01.12.2024
2024-12-01;Услуги;99.510002;01.12.2024
2025-01-01;Все товары и услуги;100.84;01.01.2025
2025-01-01;Непродовольственные товары;100.44;01.01.2025
2025-01-01;Продовольственные товары;101.0;01.01.2025
2025-01-01;Услуги;101.19;01.01.2025
2025-02-01;Все товары и услуги;101.34;01.02.2025
2025-02-01;Непродовольственные товары;100.53;01.02.2025
2025-02-01;Продовольственные товары;101.79;01.02.2025
2025-02-01;Услуги;101.82;01.02.2025
2025-03-01;Все товары и услуги;100.81;01.03.2025
2025-03-01;Непродовольственные товары;100.33;01.03.2025
2025-03-01;Продовольственные товары;100.99;01.03.2025
2025-03-01;Услуги;101.23;01.03.2025
2025-04-01;Все товары и услуги;100.53;01.04.2025
2025-04-01;Непродовольственные товары;100.06;01.04.2025
2025-04-01;Продовольственные товары;100.64;01.04.2025
2025-04-01;Услуги;101.02;01.04.2025
2025-05-01;Все товары и услуги;99.93;01.05.2025
2025-05-01;Непродовольственные товары;99.720001;01.05.2025
2025-05-01;Продовольственные товары;99.800003;01.05.2025
2025-05-01;Услуги;100.45;01.05.2025
2025-06-01;Все товары и услуги;99.959999;01.06.2025
2025-06-01;Непродовольственные товары;100.44;01.06.2025
2025-06-01;Продовольственные товары;99.120003;01.06.2025
2025-06-01;Услуги;100.61;01.06.2025
2025-07-01;Все товары и услуги;100.36;01.07.2025
2025-07-01;Непродовольственные товары;100.29;01.07.2025
2025-07-01;Продовольственные товары;98.360001;01.07.2025
2025-07-01;Услуги;103.67;01.07.2025
2025-08-01;Все товары и услуги;99.43;01.08.2025
2025-08-01;Непродовольственные товары;100.53;01.08.2025
2025-08-01;Продовольственные товары;98.529999;01.08.2025
2025-08-01;Услуги;99.220001;01.08.2025
2025-09-01;Все товары и услуги;101.0;01.09.2025
2025-09-01;Непродовольственные товары;100.95;01.09.2025
2025-09-01;Продовольственные товары;101.53;01.09.2025
2025-09-01;Услуги;100.26;01.09.2025
2025-10-01;Все товары и услуги;100.53;01.10.2025
2025-10-01;Непродовольственные товары;100.48;01.10.2025
2025-10-01;Продовольственные товары;101.2;01.10.2025
2025-10-01;Услуги;99.599998;01.10.2025
2025-11-01;Все товары и услуги;100.15;01.11.2025
2025-11-01;Непродовольственные товары;100.1;01.11.2025
2025-11-01;Продовольственные товары;100.2;01.11.2025
2025-11-01;Услуги;100.05;01.11.2025
2025-12-01;Все товары и услуги;100.29;01.12.2025
2025-12-01;Непродовольственные товары;99.89;01.12.2025
2025-12-01;Продовольственные товары;100.51;01.12.2025
2025-12-01;Услуги;100.5;01.12.2025
2026-01-01;Все товары и услуги;101.57;01.01.2026
2026-01-01;Непродовольственные товары;100.5;01.01.2026
2026-01-01;Продовольственные товары;102.38;01.01.2026
2026-01-01;Услуги;101.85;01.01.2026
2026-02-01;Все товары и услуги;101.1;01.02.2026
2026-02-01;Непродовольственные товары;100.14;01.02.2026
2026-02-01;Продовольственные товары;101.92;01.02.2026
2026-02-01;Услуги;101.16;01.02.2026
2026-03-01;Все товары и услуги;100.54;01.03.2026
2026-03-01;Непродовольственные товары;99.98;01.03.2026
2026-03-01;Продовольственные товары;100.79;01.03.2026
2026-03-01;Услуги;100.94;01.03.2026
